AÑO,MONEDA,GIRO,NUMERO DE NIVELES,ENTIDAD,TIPO DE BIEN,COBERTURA,CAUSA DEL SINIESTRO,NUMERO DE SINIESTROS,MONTO DE SINIESTRO,GASTO DE AJUSTE,SALVAMENTO,MONTO PAGADO,MONTO DE DEDUCIBLE,MONTO COASEGURO
2015,Extranjera,Comercio al por menor en tiendas de autoservicio,1,Coahuila,Edificio,"Incendio, rayo y explosion",Explosion,1.0,0.0,2658.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas de autoservicio,2,Estado de Mexico,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,857.0,1491.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas de autoservicio,2,Baja California,Edificio,Extension de cubierta (sin inundacion),Agua No Atmosferica,1.0,-64583.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas de autoservicio,5,Estado de Mexico,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,-49705.0,1487.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas de autoservicio,5,Estado de Mexico,Contenidos,Todo Riesgo,Rayo,2.0,-134.0,3019.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,1,Guerrero,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,2947425.0,25558.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,1,Nuevo Leon,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,40000.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,1,Nuevo Leon,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,-3165.0,1503.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,1,Nuevo Leon,Edificio,"Naves Aereas, Vehiculos y Humo",Agua No Atmosferica,1.0,0.0,1756.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,1,Nuevo Leon,Edificio,Otra cobertura,Falta De Mantenimiento,1.0,0.0,3500.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,1,Coahuila,Edificio,"Incendio, rayo y explosion",Deficiencias En Construccion,1.0,33866.0,21735.0,0.0,33866.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,2,Baja California,Edificio,"Incendio, rayo y explosion",Impacto De Vehiculos,2.0,39142.0,1500.0,0.0,38893.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,2,Distrito Federal,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,-16477.0,1365.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,2,Estado de Mexico,Edificio,"Incendio, rayo y explosion",Incendio Provocado,1.0,-4566.0,0.0,0.0,27124.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,3,Distrito Federal,Edificio,"Incendio, rayo y explosion",Rayo,3.0,-35687.0,6576.0,0.0,296.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,3,Distrito Federal,Edificio,Todo Riesgo,Falta De Mantenimiento,1.0,-1364.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,4,Baja California,Edificio,Extension de cubierta (sin inundacion),Agua No Atmosferica,1.0,-101048.0,0.0,0.0,0.0,0.0,0.0
