Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2017,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,3,Ganado en pie,67.016,45.22,33.82,2266.48,0
2017,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,1,Carne,4545.01,82.136,38.78,176270.513,55335
2017,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,3,Ganado en pie,6048.792,109.312,25.11,151895.874,0
2017,1,Aguascalientes,1,Aguascalientes,3,Calvillo,1,Abeja,7,Miel,18.522,0,45.63,845.208,0
2017,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,1,Carne,5308.711,236.458,71.76,380978.814,22451
2017,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,3,Ganado en pie,9871.335,439.684,38.59,380963.538,0
2017,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,6,Leche,34314.629,0,6.18,212028.83,0
2017,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,1,Carne,3.03,21.189,60.56,183.5,143
2017,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,3,Ganado en pie,5.82,40.699,29.54,171.92,0
2017,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,1,Carne,12.8,23.358,65.82,842.5,548
2017,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,3,Ganado en pie,24.824,45.299,34.04,845.01,0
2017,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,1,Carne,61.22,82.73,37.92,2321.458,740
2017,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,3,Ganado en pie,84.927,114.766,24.49,2080.279,0
2017,1,Aguascalientes,1,Aguascalientes,4,Cosío,1,Abeja,7,Miel,30.164,0,45.61,1375.818,0
2017,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave,1,Carne,16734.05,1.767,28.43,475805.191,9471361
2017,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave,8,Ganado en pie,21263.205,2.245,19.58,416423.972,0
2017,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,1,Carne,3119.87,239.548,71.9,224322.781,13024
2017,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,3,Ganado en pie,5830.55,447.677,38.68,225535.142,0
2017,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,6,Leche,24893.287,0,6.18,153798.75,0
2017,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,1,Carne,3.27,20.962,60.53,197.93,156
2017,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,3,Ganado en pie,6.265,40.16,29.51,184.88,0
2017,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,1,Carne,10.14,23.31,65.75,666.71,435
2017,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,3,Ganado en pie,19.662,45.2,34.05,669.49,0
2017,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,1,Carne,50.6,84.899,37.82,1913.453,596
2017,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,3,Ganado en pie,70.977,119.089,24.25,1721.16,0
2017,1,Aguascalientes,1,Aguascalientes,10,El Llano,1,Abeja,7,Miel,107.3,0,45.61,4894.369,0
2017,1,Aguascalientes,1,Aguascalientes,10,El Llano,3,Ave,1,Carne,39654.96,1.777,28.03,1111542.455,22317962
2017,1,Aguascalientes,1,Aguascalientes,10,El Llano,3,Ave,8,Ganado en pie,50438.594,2.26,19.6,988394.327,0
